[header]
width=28
height=18
tilewidth=32
tileheight=32

[tilesets]
tileset=../../../../../Program Files (x86)/Tiled/examples/tmw_desert_spacing.png,32,32,0,0

[layer]
type=Ground
data=
4,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,5,25,26,26,26,26,26,26,26,27,
16,30,30,1,2,2,7,7,7,7,7,7,30,30,30,6,7,8,14,33,34,34,34,36,42,37,34,35,
16,14,16,9,10,10,15,15,15,15,15,15,30,30,30,14,15,16,14,33,34,34,34,35,31,33,34,35,
16,14,16,9,10,10,15,15,15,15,15,15,30,30,30,22,23,24,14,33,34,34,34,35,47,33,34,35,
16,14,16,9,10,20,23,23,23,23,23,23,30,30,30,30,47,47,14,33,34,34,34,35,30,33,34,35,
16,14,16,9,10,11,30,30,30,30,7,7,7,30,30,30,30,30,13,33,34,34,34,44,26,45,34,35,
16,14,16,9,10,28,2,2,2,2,10,10,10,2,2,2,2,2,26,45,34,34,34,34,34,34,34,35,
16,14,16,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,34,34,34,34,34,34,34,34,34,35,
16,14,16,9,10,20,18,18,18,18,18,18,18,18,18,18,10,18,42,37,34,34,34,34,34,34,34,35,
16,14,16,9,10,11,30,30,30,30,30,30,30,30,30,30,23,23,5,33,34,36,42,37,34,34,34,35,
16,30,30,9,10,11,30,47,30,30,30,30,30,30,30,30,30,30,14,33,34,35,40,33,34,34,34,35,
16,30,30,9,10,11,30,30,30,30,31,30,30,30,30,30,30,30,14,33,34,44,26,45,34,34,34,35,
16,30,30,9,10,11,30,30,30,30,31,30,30,30,30,31,30,30,14,33,34,34,34,34,34,34,34,35,
16,30,30,9,10,11,30,30,30,30,47,30,30,30,6,7,7,8,14,33,34,34,34,36,42,37,34,35,
16,30,30,9,10,11,30,30,30,30,30,30,30,30,14,15,15,16,14,33,34,34,34,35,38,33,34,35,
16,30,46,9,10,11,30,47,30,30,30,30,30,30,14,15,15,16,14,33,34,34,34,44,26,45,34,35,
16,30,30,17,18,19,30,30,30,47,30,30,30,30,22,23,23,24,14,33,34,34,34,34,34,34,34,35,
12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,41,42,42,42,42,42,42,42,43

